,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
0,"Ghana's coach was really worried about Son Heung-min 
https://t.co/F0SuEasIi1 

The player I've seen since I was y... 
#director #Ghana #SonHeungMin #therealthing #Worrying 
https://t.co/F0SuEasIi1",ghana coach was really worried about son heung min the player ve seen since was director ghana sonheungmin therealthing worrying ,0.2,0.2,negative,0.214,0.786,0.0,-0.5984,129,20
1,"Ghana's coach was really worried about Son Heung-min 
https://t.co/t0ifUR2yvK 

The player I've seen since I was yo... 
#director #Ghana #Son_Heung_Min #the_real_thing #Worrying https://t.co/zqPkoRXSA0",ghana coach was really worried about son heung min the player ve seen since was yo director ghana son heung min the real thing worrying ,0.2,0.25,negative,0.175,0.825,0.0,-0.5984,136,25
2,"@FrankKhalidUK If it's about being old, then Ghana should be winning this #FIFAWorldCupQatar2022. #Ghana has the youngest squad among the other 31 countries participating in the tournament...", if it about being old then ghana should be winning this fifaworldcupqatar2022 ghana has the youngest squad among the other 31 countries participating in the tournament ,0.15833333333333333,0.44166666666666665,positive,0.0,0.88,0.12,0.5267,169,26
3,"15 SMEs in Ghana receive GH¢2.3 million funding
https://t.co/jMW417FdOW

#Ghana",15 smes in ghana receive gh 2 3 million funding ghana,0.0,0.0,neutral,0.0,1.0,0.0,0.0,53,11
4,"Jamestown Lighthouse, Accra 
#Cloud #Lighthouse #Guidance #Tower #Architecture #Sky #Outdoors #Sunset #City #Building #beautiful #stanostudios #natgeo100contest #Africa #Accra #Ghana #vero https://t.co/ejKuzmgOEF",jamestown lighthouse accra cloud lighthouse guidance tower architecture sky outdoors sunset city building beautiful stanostudios natgeo100contest africa accra ghana vero ,0.85,1.0,positive,0.0,0.83,0.17,0.5994,170,20
5,"Ghana is one of the continent's top producers of gold, which has a considerable economic impact. As an alternative, Ghanaian legislation permits small-scale mining,...read more

https://t.co/FrdQIarPCK

#Ghana #illegal #Mining #illegalmining #galamsey #bulwark https://t.co/IDvT8Jj4Vp",ghana is one of the continent top producers of gold which has considerable economic impact as an alternative ghanaian legislation permits small scale mining read more ghana illegal mining illegalmining galamsey bulwark ,0.09166666666666667,0.425,negative,0.109,0.841,0.05,-0.4728,219,32
6,"Today’s @OEAfrica analysis covers #Ghana #Namibia #SouthAfrica #Tanzania #Zambia For more information, visit https://t.co/MeCOu5OGLl https://t.co/JvgN4vGod9",today analysis covers ghana namibia southafrica tanzania zambia for more information visit ,0.5,0.5,neutral,0.0,1.0,0.0,0.0,91,12
7,Happy Birthday to Dear @JDMahama once again #Ghana Should shine under your Governance and Administration #HopeStartsHere,happy birthday to dear once again ghana should shine under your governance and administration hopestartshere,0.8,1.0,positive,0.0,0.674,0.326,0.743,108,15
8,"Discover some of the dos and don't s in #Ghana

https://t.co/XzfINp0LRJ",discover some of the dos and don s in ghana ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,44,10
9,"Kudos to you Ghana black star for the victory.
.
.
.
.
#hoogah #blackstars #ghana #ghanablackstars #accra #blackstarsofghana #ghanafood #blackstars #ghana #accra #followforfollowback #ghanafood #makinglifebetter https://t.co/MaLiRB69AS",kudos to you ghana black star for the victory hoogah blackstars ghana ghanablackstars accra blackstarsofghana ghanafood blackstars ghana accra followforfollowback ghanafood makinglifebetter ,-0.16666666666666666,0.43333333333333335,positive,0.0,0.864,0.136,0.5106,190,22
